Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,15.220000,15.333333,15.153333,15.173333,15.173333,51300
2021-06-08,14.813333,15.246667,14.813333,15.133333,15.133333,27150
2021-06-09,14.833333,14.833333,14.693333,14.700000,14.700000,46050
2021-06-10,14.900000,14.900000,14.720000,14.893333,14.893333,26550
2021-06-11,15.026667,15.026667,14.893333,14.933333,14.933333,22050
2021-06-14,14.933333,14.933333,14.866667,14.913333,14.913333,48000
2021-06-15,15.073333,15.106667,15.053333,15.093333,15.093333,52950
2021-06-16,15.106667,15.146667,15.026667,15.100000,15.100000,36000
2021-06-17,15.166667,15.180000,15.060000,15.173333,15.173333,81600
2021-06-18,15.013333,15.200000,14.900000,14.900000,14.900000,45300
2021-06-21,15.226667,15.400000,15.226667,15.400000,15.400000,85950
2021-06-22,15.706667,15.706667,15.386667,15.553333,15.553333,86400
2021-06-23,15.480000,15.606667,15.106667,15.200000,15.200000,39450
2021-06-24,15.300000,15.300000,15.220000,15.246667,15.246667,30300
2021-06-25,15.160000,15.166667,15.113333,15.166667,15.166667,63000
2021-06-28,15.673333,15.933333,15.673333,15.933333,15.933333,64200
2021-06-29,15.946667,16.013332,15.946667,15.966667,15.966667,99300
2021-06-30,15.966667,15.966667,15.880000,15.880000,15.880000,29850
2021-07-01,15.533333,15.566667,15.386667,15.386667,15.386667,172800
2021-07-02,15.526667,15.553333,15.466667,15.480000,15.480000,29850
2021-07-06,15.693333,15.693333,15.520000,15.660000,15.660000,42150
2021-07-07,15.706667,15.706667,15.540000,15.540000,15.540000,70650
2021-07-08,15.453333,15.533333,15.233333,15.273333,15.273333,48750
2021-07-09,15.380000,15.440000,15.100000,15.433333,15.433333,82500
2021-07-12,15.506667,15.506667,15.380000,15.440000,15.440000,19650
2021-07-13,15.513333,15.513333,15.406667,15.440000,15.440000,40500
2021-07-14,15.426667,15.426667,15.333333,15.366667,15.366667,75300
2021-07-15,15.333333,15.346667,15.280000,15.306667,15.306667,33600
2021-07-16,15.233333,15.266667,15.140000,15.160000,15.160000,98250
2021-07-19,15.140000,15.140000,14.900000,14.960000,14.960000,87150
2021-07-20,15.073333,15.360000,15.073333,15.333333,15.333333,85950
2021-07-21,15.266667,15.340000,15.200000,15.320000,15.320000,52350
2021-07-22,15.286667,15.373333,15.260000,15.286667,15.286667,25800
2021-07-23,15.293333,15.493333,15.266667,15.380000,15.380000,30150
2021-07-26,15.213333,15.226667,15.140000,15.226667,15.226667,72750
2021-07-27,15.133333,15.293333,14.913333,15.020000,15.020000,49500
2021-07-28,15.460000,15.460000,15.186667,15.300000,15.300000,35700
2021-07-29,15.066667,15.066667,14.873333,14.913333,14.913333,28350
2021-07-30,14.966667,14.966667,14.840000,14.880000,14.880000,49350
2021-08-02,15.033333,15.106667,14.933333,14.986667,14.986667,53250
2021-08-03,14.780000,15.013333,14.780000,14.980000,14.980000,57750
2021-08-04,14.986667,15.040000,14.933333,14.993333,14.993333,75750
2021-08-05,14.953333,14.953333,14.826667,14.873333,14.873333,29550
2021-08-06,14.693333,14.720000,14.620000,14.633333,14.633333,30900
2021-08-09,14.733333,14.733333,14.506667,14.680000,14.680000,59250
2021-08-10,14.853333,14.893333,14.786667,14.813333,14.813333,87600
2021-08-11,15.060000,15.113333,15.060000,15.086667,15.086667,39150
2021-08-12,14.966667,15.040000,14.940000,15.026667,15.026667,96450
2021-08-13,14.926667,14.940000,14.893333,14.926667,14.926667,78300
2021-08-16,14.600000,14.780000,14.600000,14.773333,14.773333,39000
2021-08-17,14.640000,14.673333,14.600000,14.673333,14.673333,41100
2021-08-18,14.513333,14.573333,14.473333,14.473333,14.473333,89700
2021-08-19,14.680000,14.740000,14.626667,14.706667,14.706667,90300
2021-08-20,14.900000,15.000000,14.900000,15.000000,15.000000,135450
2021-08-23,15.313333,15.313333,15.246667,15.286667,15.286667,36300
2021-08-24,14.926667,15.466667,14.926667,15.273333,15.273333,79500
2021-08-25,14.893333,14.933333,14.886667,14.933333,14.933333,58800
2021-08-26,14.453333,14.493333,14.433333,14.453333,14.453333,50850
2021-08-27,14.333333,14.433333,14.266667,14.433333,14.433333,77400
2021-08-30,14.333333,14.360000,14.266667,14.326667,14.326667,67950
2021-08-31,14.546667,14.740000,14.506667,14.506667,14.506667,60900
2021-09-01,14.946667,14.993333,14.906667,14.940000,14.940000,48450
2021-09-02,14.933333,14.933333,14.806667,14.853333,14.853333,53100
2021-09-03,15.066667,15.286667,15.066667,15.286667,15.286667,55800
2021-09-07,15.253333,15.386667,15.246667,15.360000,15.360000,75600
2021-09-08,15.373333,15.373333,15.240000,15.300000,15.300000,65100
2021-09-09,15.566667,15.613333,15.533333,15.580000,15.580000,31350
2021-09-10,15.840000,15.840000,15.553333,15.733333,15.733333,35100
2021-09-13,15.840000,15.846667,15.746667,15.806667,15.806667,33900
2021-09-14,15.426667,15.426667,15.306667,15.320000,15.320000,50400
2021-09-15,15.600000,15.760000,15.600000,15.760000,15.760000,45450
2021-09-16,15.846667,16.073334,15.846667,16.073334,16.073334,107400
2021-09-17,15.600000,15.706667,15.600000,15.680000,15.680000,43500
2021-09-20,15.680000,15.680000,15.440000,15.506667,15.506667,40950
2021-09-21,15.700000,15.746667,15.660000,15.700000,15.700000,39300
2021-09-22,15.766667,15.813333,15.740000,15.780000,15.780000,81000
2021-09-23,15.786667,15.833333,15.773333,15.773333,15.773333,34500
2021-09-24,15.626667,15.653333,15.586667,15.653333,15.653333,26700
2021-09-27,15.600000,15.640000,15.573333,15.613333,15.613333,39000
2021-09-28,15.220000,15.220000,15.100000,15.140000,15.140000,55050
2021-09-29,15.233333,15.266667,15.166667,15.213333,15.213333,45600
2021-09-30,15.193333,15.226667,15.113333,15.180000,15.180000,55650
2021-10-01,15.046667,15.046667,14.913333,14.993333,14.993333,46650
2021-10-04,14.920000,14.933333,14.646667,14.720000,14.720000,95250
2021-10-05,14.920000,14.973333,14.900000,14.906667,14.906667,98250
2021-10-06,14.586667,14.766667,14.573333,14.713333,14.713333,57300
2021-10-07,14.666667,14.900000,14.533333,14.780000,14.780000,54300
2021-10-08,14.333333,14.333333,14.166667,14.186667,14.186667,45450
2021-10-11,14.180000,14.180000,14.000000,14.033333,14.033333,58350
2021-10-12,13.960000,14.013333,13.906667,13.920000,13.920000,89700
2021-10-13,13.873333,13.920000,13.846667,13.893333,13.893333,68400
2021-10-14,14.033333,14.033333,13.980000,14.000000,14.000000,86700
2021-10-15,14.046667,14.093333,14.040000,14.060000,14.060000,64950
2021-10-18,13.906667,14.026667,13.906667,14.013333,14.013333,104850
2021-10-19,13.760000,14.040000,13.760000,13.920000,13.920000,124950
2021-10-20,13.880000,13.913333,13.860000,13.880000,13.880000,54450
2021-10-21,13.886667,13.960000,13.886667,13.906667,13.906667,103950
2021-10-22,13.900000,13.940000,13.866667,13.866667,13.866667,67650
2021-10-25,13.706667,13.920000,13.706667,13.893333,13.893333,92100
2021-10-26,14.020000,14.020000,13.933333,13.960000,13.960000,143250
2021-10-27,14.166667,14.213333,14.133333,14.133333,14.133333,65550
2021-10-28,14.353333,14.393333,14.320000,14.380000,14.380000,56700
2021-10-29,13.966667,14.020000,13.933333,14.020000,14.020000,48000
2021-11-01,14.420000,14.453333,14.400000,14.453333,14.453333,91800
2021-11-02,14.753333,14.753333,14.553333,14.580000,14.580000,138900
2021-11-03,14.526667,14.666667,14.526667,14.666667,14.666667,49650
2021-11-04,14.620000,14.746667,14.620000,14.746667,14.746667,104850
2021-11-05,14.780000,14.826667,14.760000,14.826667,14.826667,42300
2021-11-08,14.800000,14.800000,14.660000,14.686667,14.686667,69150
2021-11-09,14.700000,14.733333,14.653333,14.686667,14.686667,112950
2021-11-10,14.686667,14.793333,14.620000,14.633333,14.633333,36750
2021-11-11,14.633333,14.633333,14.500000,14.520000,14.520000,69750
2021-11-12,14.593333,14.686667,14.586667,14.686667,14.686667,40950
2021-11-15,14.606667,14.606667,14.566667,14.606667,14.606667,64950
2021-11-16,14.646667,14.666667,14.620000,14.620000,14.620000,85800
2021-11-17,14.473333,14.473333,14.293333,14.333333,14.333333,203400
2021-11-18,13.893333,13.933333,13.853333,13.886667,13.886667,234600
2021-11-19,13.560000,14.040000,13.560000,14.006667,14.006667,128400
